epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,732.285,1.43262,0.508,0.91453,0.96111,0.95218,0.97341,0.67043,1.68957,0.55509,0.9068,0.000412246,0.000412246,0.000412246
86,739.409,1.42189,0.50488,0.91395,0.96102,0.95806,0.97701,0.65661,1.75916,0.56358,0.91503,0.000402084,0.000402084,0.000402084
87,745.47,1.39657,0.50018,0.90973,0.96239,0.94705,0.97306,0.66545,1.72238,0.56288,0.90511,0.000391966,0.000391966,0.000391966
88,751.455,1.38468,0.49372,0.90899,0.96085,0.95052,0.97484,0.69997,1.54272,0.53592,0.90361,0.000381899,0.000381899,0.000381899
89,758.375,1.42856,0.50247,0.9125,0.96378,0.94734,0.9738,0.6857,1.63206,0.54932,0.9056,0.000371885,0.000371885,0.000371885
90,764.499,1.40385,0.49825,0.91203,0.96766,0.94796,0.97645,0.68399,1.66949,0.54417,0.9027,0.000361929,0.000361929,0.000361929
91,770.363,1.38221,0.4863,0.90657,0.96508,0.95203,0.97737,0.69808,1.59433,0.5283,0.90066,0.000352037,0.000352037,0.000352037
92,777.275,1.37909,0.48482,0.9085,0.96744,0.9502,0.97841,0.69893,1.56072,0.53333,0.89874,0.000342211,0.000342211,0.000342211
93,783.246,1.39595,0.49386,0.9077,0.96571,0.95127,0.97756,0.66605,1.74936,0.55587,0.90665,0.000332457,0.000332457,0.000332457
94,792.074,1.3924,0.48621,0.90138,0.96398,0.94856,0.97875,0.68848,1.61727,0.53423,0.9002,0.000322778,0.000322778,0.000322778
95,798.196,1.36684,0.47943,0.90139,0.95793,0.95882,0.97616,0.66875,1.70765,0.55325,0.90388,0.00031318,0.00031318,0.00031318
96,804.174,1.43979,0.49838,0.91142,0.96151,0.95761,0.97794,0.69821,1.5592,0.53848,0.89785,0.000303665,0.000303665,0.000303665
97,810.492,1.39079,0.48804,0.90428,0.9593,0.95595,0.97586,0.69959,1.56508,0.53825,0.89934,0.000294239,0.000294239,0.000294239
98,816.341,1.44979,0.4956,0.91678,0.95799,0.94947,0.97357,0.69086,1.58458,0.54087,0.90222,0.000284906,0.000284906,0.000284906
99,822.386,1.3864,0.48042,0.90299,0.96153,0.95746,0.97654,0.68539,1.64854,0.53278,0.90284,0.000275668,0.000275668,0.000275668
100,830.631,1.35031,0.47863,0.90208,0.96326,0.94529,0.97188,0.67444,1.67438,0.54827,0.90344,0.000266532,0.000266532,0.000266532
101,836.437,1.37819,0.47485,0.90639,0.96097,0.95452,0.97634,0.69352,1.60416,0.52912,0.89675,0.0002575,0.0002575,0.0002575
102,843.058,1.35329,0.47106,0.89578,0.96219,0.95067,0.97546,0.70217,1.53331,0.52607,0.8969,0.000248577,0.000248577,0.000248577
103,849.5,1.36028,0.47667,0.89952,0.96474,0.94923,0.97202,0.67242,1.69352,0.56847,0.90403,0.000239766,0.000239766,0.000239766
104,855.13,1.34024,0.46965,0.89751,0.96024,0.95324,0.9754,0.6966,1.57968,0.53006,0.89867,0.000231071,0.000231071,0.000231071
105,861.486,1.36089,0.46829,0.89448,0.96166,0.94992,0.97164,0.64666,1.86943,0.56192,0.90801,0.000222497,0.000222497,0.000222497
106,867.433,1.35368,0.46869,0.89876,0.96152,0.95361,0.97431,0.68114,1.66048,0.53399,0.90019,0.000214046,0.000214046,0.000214046
107,875.236,1.33238,0.46481,0.89678,0.95903,0.95429,0.97337,0.68688,1.62286,0.53368,0.89986,0.000205723,0.000205723,0.000205723
108,882.79,1.31595,0.45841,0.89612,0.95991,0.95308,0.97184,0.68535,1.62528,0.54089,0.89787,0.000197532,0.000197532,0.000197532
109,888.675,1.33164,0.46513,0.89922,0.96332,0.94697,0.97111,0.69318,1.58231,0.53843,0.89613,0.000189475,0.000189475,0.000189475
110,894.856,1.31998,0.46407,0.8967,0.95943,0.95598,0.97487,0.68716,1.61334,0.54442,0.89773,0.000181557,0.000181557,0.000181557
111,901.504,1.3128,0.45705,0.89022,0.96247,0.95164,0.97371,0.69272,1.59089,0.53829,0.89455,0.00017378,0.00017378,0.00017378
112,907.599,1.3175,0.45844,0.89247,0.96241,0.9539,0.97275,0.69011,1.60149,0.54432,0.89629,0.000166149,0.000166149,0.000166149
113,914.047,1.32663,0.45951,0.89591,0.9593,0.95655,0.97518,0.70646,1.49018,0.52103,0.89701,0.000158667,0.000158667,0.000158667
114,921.095,1.31545,0.45539,0.89496,0.96064,0.95293,0.97222,0.67302,1.70884,0.54362,0.90017,0.000151336,0.000151336,0.000151336
115,928.542,1.31658,0.45314,0.89545,0.96219,0.95215,0.97288,0.69065,1.59666,0.53851,0.89841,0.000144161,0.000144161,0.000144161
116,934.574,1.29489,0.45354,0.88833,0.96228,0.95431,0.9729,0.69884,1.56874,0.52474,0.89448,0.000137143,0.000137143,0.000137143
117,941.358,1.29199,0.44572,0.8939,0.96355,0.95022,0.97014,0.67607,1.69448,0.54395,0.89955,0.000130287,0.000130287,0.000130287
118,947.282,1.29677,0.44972,0.8919,0.95893,0.95414,0.97236,0.69857,1.53362,0.52618,0.89849,0.000123596,0.000123596,0.000123596
119,953.161,1.28533,0.44923,0.88699,0.95842,0.9555,0.97234,0.68742,1.61761,0.53264,0.89793,0.000117072,0.000117072,0.000117072
120,959.298,1.28967,0.44752,0.88822,0.96349,0.95144,0.97089,0.6934,1.57884,0.53571,0.89556,0.000110718,0.000110718,0.000110718
121,968.578,1.29112,0.44575,0.88959,0.9597,0.9552,0.97248,0.68655,1.61774,0.54286,0.89732,0.000104537,0.000104537,0.000104537
122,974.56,1.2923,0.44557,0.89146,0.96228,0.95443,0.97389,0.69728,1.55825,0.52781,0.8944,9.85311e-05,9.85311e-05,9.85311e-05
123,980.593,1.28094,0.44535,0.89036,0.96289,0.95263,0.97285,0.67653,1.69598,0.53588,0.89812,9.2704e-05,9.2704e-05,9.2704e-05
124,986.747,1.30327,0.45036,0.89003,0.96255,0.95293,0.97545,0.70793,1.5128,0.51146,0.89178,8.70577e-05,8.70577e-05,8.70577e-05
125,993.673,1.28088,0.44216,0.88589,0.96319,0.95324,0.97481,0.69194,1.61279,0.52304,0.8954,8.15947e-05,8.15947e-05,8.15947e-05
126,1000.39,1.28182,0.44463,0.89056,0.96364,0.95324,0.9749,0.70726,1.51087,0.5118,0.89172,7.63174e-05,7.63174e-05,7.63174e-05
127,1006.56,1.25793,0.43538,0.88295,0.96526,0.95152,0.97316,0.68929,1.6073,0.53073,0.89469,7.12282e-05,7.12282e-05,7.12282e-05
128,1018.95,1.26075,0.43692,0.88432,0.96448,0.95127,0.97288,0.70026,1.55039,0.52264,0.89278,6.63292e-05,6.63292e-05,6.63292e-05
129,1025.53,1.26536,0.43806,0.88674,0.96417,0.95388,0.97393,0.69242,1.59822,0.52511,0.89429,6.16227e-05,6.16227e-05,6.16227e-05
130,1031.68,1.26765,0.43786,0.88718,0.96412,0.95663,0.9753,0.69947,1.56022,0.51507,0.89303,5.71106e-05,5.71106e-05,5.71106e-05
131,1038.29,1.27442,0.44266,0.8843,0.96457,0.9549,0.97409,0.69059,1.61241,0.52571,0.89466,5.2795e-05,5.2795e-05,5.2795e-05
132,1044.57,1.27649,0.44258,0.88653,0.96567,0.95263,0.97359,0.70198,1.546,0.5168,0.89203,4.86777e-05,4.86777e-05,4.86777e-05
133,1050.25,1.24378,0.43639,0.88228,0.96549,0.95248,0.97217,0.70031,1.55006,0.51766,0.8914,4.47606e-05,4.47606e-05,4.47606e-05
134,1056.17,1.26036,0.43742,0.8863,0.9649,0.95399,0.97279,0.69242,1.60671,0.52101,0.89439,4.10454e-05,4.10454e-05,4.10454e-05
135,1064.68,1.25696,0.43133,0.88128,0.96467,0.95553,0.97241,0.70176,1.53281,0.51936,0.89332,3.75337e-05,3.75337e-05,3.75337e-05
136,1071.37,1.24811,0.43268,0.8809,0.96449,0.9552,0.97256,0.69398,1.58672,0.5238,0.89572,3.4227e-05,3.4227e-05,3.4227e-05
137,1077.54,1.26322,0.43834,0.88068,0.96324,0.95399,0.97325,0.6902,1.61758,0.52554,0.89589,3.11268e-05,3.11268e-05,3.11268e-05
138,1083.68,1.26881,0.43912,0.89048,0.96399,0.95316,0.97258,0.69828,1.5604,0.5227,0.89212,2.82345e-05,2.82345e-05,2.82345e-05
139,1089.88,1.25586,0.43738,0.8844,0.96527,0.95263,0.972,0.69319,1.59001,0.53007,0.89353,2.55513e-05,2.55513e-05,2.55513e-05
140,1095.66,1.24415,0.43472,0.88383,0.96341,0.95335,0.97224,0.69654,1.56798,0.52674,0.89342,2.30784e-05,2.30784e-05,2.30784e-05
141,1101.85,1.27112,0.44424,0.88695,0.96171,0.95473,0.97205,0.69928,1.55409,0.52138,0.89206,2.08169e-05,2.08169e-05,2.08169e-05
142,1108.37,1.25064,0.43319,0.88403,0.96282,0.95474,0.97237,0.69294,1.59381,0.53081,0.89306,1.87678e-05,1.87678e-05,1.87678e-05
143,1114.46,1.26701,0.43585,0.88257,0.96287,0.95441,0.97302,0.69676,1.57173,0.52625,0.89143,1.6932e-05,1.6932e-05,1.6932e-05
144,1121.68,1.23787,0.43404,0.8828,0.96448,0.95384,0.97298,0.70157,1.54344,0.52366,0.89059,1.53102e-05,1.53102e-05,1.53102e-05
145,1129.55,1.258,0.43722,0.88541,0.96203,0.95474,0.97268,0.69977,1.5548,0.52489,0.8916,1.39032e-05,1.39032e-05,1.39032e-05
146,1138.34,1.25044,0.43605,0.88394,0.96256,0.95419,0.97276,0.69816,1.56325,0.52822,0.89204,1.27117e-05,1.27117e-05,1.27117e-05
147,1149.77,1.27978,0.436,0.88947,0.96256,0.95384,0.97264,0.69525,1.58609,0.52898,0.8929,1.1736e-05,1.1736e-05,1.1736e-05
148,1156.58,1.22575,0.42865,0.87988,0.96221,0.95369,0.9728,0.69836,1.56332,0.52811,0.8918,1.09768e-05,1.09768e-05,1.09768e-05
149,1165.03,1.24532,0.43153,0.87975,0.96366,0.95339,0.97294,0.69898,1.55898,0.52646,0.89168,1.04342e-05,1.04342e-05,1.04342e-05
150,1180.38,1.23845,0.43487,0.88297,0.9642,0.95485,0.97301,0.70052,1.55262,0.52207,0.89092,1.01086e-05,1.01086e-05,1.01086e-05
