epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,817.634,0.79701,0.40396,0.89929,0.97573,0.95821,0.98201,0.70009,1.01724,0.4725,0.89301,0.000307,0.000307,0.000307
72,829.127,0.80771,0.407,0.90723,0.97191,0.95912,0.97876,0.68481,1.04434,0.53713,0.89773,0.0002971,0.0002971,0.0002971
73,839.892,0.82351,0.4097,0.91211,0.9707,0.96093,0.9839,0.71356,0.96109,0.46162,0.88942,0.0002872,0.0002872,0.0002872
74,850.445,0.84395,0.41596,0.91786,0.97307,0.95921,0.98297,0.67246,1.07546,0.48131,0.90029,0.0002773,0.0002773,0.0002773
75,861.502,0.85185,0.41828,0.91012,0.97098,0.959,0.98247,0.71648,0.95568,0.46595,0.89349,0.0002674,0.0002674,0.0002674
76,873.751,0.82689,0.40946,0.90624,0.97723,0.95191,0.97936,0.69901,1.0054,0.50581,0.90083,0.0002575,0.0002575,0.0002575
77,885.451,0.83167,0.41274,0.90655,0.9738,0.94773,0.97954,0.70516,0.9821,0.50146,0.89683,0.0002476,0.0002476,0.0002476
78,896.527,0.79603,0.39755,0.89733,0.9739,0.95697,0.98094,0.70788,0.98925,0.48341,0.89586,0.0002377,0.0002377,0.0002377
79,907.164,0.79774,0.39913,0.90048,0.97316,0.95711,0.98172,0.71544,0.96696,0.4638,0.89081,0.0002278,0.0002278,0.0002278
80,917.767,0.7991,0.39618,0.90295,0.97218,0.95945,0.98088,0.70024,1.0127,0.47778,0.89852,0.0002179,0.0002179,0.0002179
81,930.172,0.78453,0.39215,0.89587,0.96967,0.95976,0.982,0.70044,1.01349,0.47651,0.89712,0.000208,0.000208,0.000208
82,940.669,0.79349,0.39155,0.89722,0.97173,0.95912,0.98183,0.71205,0.96677,0.46943,0.89256,0.0001981,0.0001981,0.0001981
83,951.066,0.78633,0.38975,0.89294,0.97211,0.96207,0.98192,0.71927,0.93602,0.45239,0.89049,0.0001882,0.0001882,0.0001882
84,961.57,0.79016,0.39574,0.89479,0.97217,0.95915,0.98115,0.71996,0.92938,0.45469,0.88759,0.0001783,0.0001783,0.0001783
85,972.745,0.76649,0.38378,0.88613,0.97013,0.96063,0.97831,0.71231,0.96034,0.49972,0.89069,0.0001684,0.0001684,0.0001684
86,983.27,0.77925,0.3856,0.89482,0.97187,0.96153,0.98191,0.71406,0.9561,0.46008,0.88907,0.0001585,0.0001585,0.0001585
87,993.797,0.76619,0.38057,0.8873,0.9708,0.95799,0.98087,0.70465,0.99275,0.46854,0.89245,0.0001486,0.0001486,0.0001486
88,1004.59,0.77802,0.38343,0.88899,0.97419,0.95625,0.98138,0.72554,0.91811,0.45199,0.88338,0.0001387,0.0001387,0.0001387
89,1015.4,0.76978,0.38039,0.89049,0.97286,0.96262,0.98129,0.70722,0.98717,0.46372,0.88995,0.0001288,0.0001288,0.0001288
90,1025.87,0.77194,0.38194,0.89007,0.97319,0.9637,0.98246,0.72143,0.94093,0.44435,0.88725,0.0001189,0.0001189,0.0001189
91,1036.28,0.76347,0.37752,0.88446,0.97423,0.96229,0.9826,0.72067,0.94582,0.44537,0.88605,0.000109,0.000109,0.000109
92,1047.09,0.77026,0.37647,0.8918,0.97273,0.96314,0.98237,0.72701,0.92062,0.443,0.88568,9.91e-05,9.91e-05,9.91e-05
93,1058.37,0.74217,0.36917,0.87998,0.97156,0.96168,0.98119,0.72615,0.91279,0.44516,0.88592,8.92e-05,8.92e-05,8.92e-05
94,1069.63,0.75392,0.37113,0.88659,0.96894,0.96395,0.98106,0.72285,0.92532,0.44928,0.88787,7.93e-05,7.93e-05,7.93e-05
95,1081.53,0.74699,0.36655,0.87967,0.97369,0.95897,0.98061,0.7178,0.94987,0.45546,0.88793,6.94e-05,6.94e-05,6.94e-05
96,1092.29,0.74464,0.36472,0.88069,0.97234,0.96183,0.98071,0.71969,0.94571,0.45431,0.88641,5.95e-05,5.95e-05,5.95e-05
97,1103.92,0.74807,0.36815,0.87699,0.97168,0.96288,0.98131,0.72104,0.93957,0.44923,0.88731,4.96e-05,4.96e-05,4.96e-05
98,1116.01,0.75521,0.36837,0.88893,0.9721,0.96179,0.9809,0.72468,0.93027,0.44571,0.88725,3.97e-05,3.97e-05,3.97e-05
99,1126.63,0.74392,0.3665,0.87998,0.97339,0.95867,0.97971,0.71703,0.95047,0.4554,0.88957,2.98e-05,2.98e-05,2.98e-05
100,1138.89,0.73931,0.36259,0.881,0.97204,0.95973,0.97979,0.72494,0.92418,0.45447,0.88709,1.99e-05,1.99e-05,1.99e-05
