epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1175.74,1.24646,0.38823,0.89105,0.97516,0.95924,0.98014,0.7321,1.42446,0.44757,0.88554,0.000275668,0.000275668,0.000275668
100,1187.54,1.25228,0.38541,0.89484,0.97479,0.95679,0.9795,0.70038,1.61473,0.4733,0.89487,0.000266532,0.000266532,0.000266532
101,1197.95,1.28983,0.39669,0.89659,0.97104,0.95597,0.98004,0.72982,1.42433,0.45063,0.89163,0.0002575,0.0002575,0.0002575
102,1208.72,1.25092,0.38524,0.88569,0.97053,0.9589,0.97783,0.7064,1.5949,0.47183,0.89384,0.000248577,0.000248577,0.000248577
103,1219.37,1.22956,0.38618,0.88815,0.97234,0.95882,0.97671,0.72953,1.41712,0.47507,0.88829,0.000239766,0.000239766,0.000239766
104,1230.02,1.21358,0.37873,0.88561,0.9694,0.96526,0.97999,0.71762,1.51356,0.47432,0.8909,0.000231071,0.000231071,0.000231071
105,1240.65,1.2241,0.37429,0.8874,0.97322,0.96153,0.97904,0.69829,1.628,0.47758,0.89655,0.000222497,0.000222497,0.000222497
106,1251.21,1.23045,0.37773,0.88724,0.97385,0.96083,0.97968,0.71745,1.51326,0.4618,0.89037,0.000214046,0.000214046,0.000214046
107,1261.74,1.2005,0.37298,0.88327,0.97063,0.95708,0.97589,0.71007,1.55121,0.47777,0.89291,0.000205723,0.000205723,0.000205723
108,1272.24,1.18671,0.36547,0.88444,0.96859,0.96078,0.98018,0.73258,1.42794,0.44525,0.8927,0.000197532,0.000197532,0.000197532
109,1283.94,1.19619,0.37065,0.88685,0.96892,0.96063,0.97846,0.71417,1.54237,0.46185,0.89242,0.000189475,0.000189475,0.000189475
110,1294.48,1.19502,0.37315,0.88512,0.97374,0.96226,0.97908,0.72225,1.47312,0.45746,0.8902,0.000181557,0.000181557,0.000181557
111,1305.09,1.17227,0.36443,0.87547,0.97011,0.95977,0.97936,0.72537,1.46707,0.44588,0.88693,0.00017378,0.00017378,0.00017378
112,1316.18,1.1965,0.37149,0.88079,0.9701,0.96423,0.97923,0.72493,1.48408,0.44315,0.89039,0.000166149,0.000166149,0.000166149
113,1326.91,1.18377,0.3666,0.88161,0.97422,0.96244,0.97907,0.7248,1.48488,0.44277,0.89236,0.000158667,0.000158667,0.000158667
114,1337.36,1.17902,0.36482,0.88315,0.97079,0.9644,0.98007,0.72421,1.48632,0.44765,0.8918,0.000151336,0.000151336,0.000151336
115,1349.14,1.20393,0.36764,0.88402,0.96994,0.96371,0.98011,0.71351,1.53673,0.45524,0.89497,0.000144161,0.000144161,0.000144161
116,1360.3,1.18121,0.36233,0.87786,0.97157,0.96002,0.97982,0.72989,1.46433,0.44106,0.89156,0.000137143,0.000137143,0.000137143
117,1370.77,1.18206,0.36198,0.8816,0.97154,0.96214,0.97797,0.70753,1.59682,0.46067,0.89291,0.000130287,0.000130287,0.000130287
118,1381.47,1.16856,0.36003,0.8814,0.97212,0.9625,0.97899,0.72702,1.44598,0.45273,0.88651,0.000123596,0.000123596,0.000123596
119,1392.03,1.17216,0.36192,0.87464,0.97227,0.96138,0.97977,0.73192,1.43284,0.43749,0.88567,0.000117072,0.000117072,0.000117072
120,1402.74,1.1733,0.35805,0.8789,0.97481,0.96339,0.97964,0.70975,1.57273,0.45446,0.89056,0.000110718,0.000110718,0.000110718
121,1415.68,1.18052,0.36116,0.87531,0.97122,0.96205,0.97718,0.72898,1.43523,0.44763,0.88855,0.000104537,0.000104537,0.000104537
122,1426.32,1.17232,0.35971,0.88106,0.97124,0.96287,0.97752,0.72139,1.4888,0.45299,0.88822,9.85311e-05,9.85311e-05,9.85311e-05
123,1436.97,1.15558,0.35567,0.87554,0.97166,0.962,0.97885,0.72379,1.50979,0.44766,0.88878,9.2704e-05,9.2704e-05,9.2704e-05
124,1447.77,1.16105,0.35593,0.87611,0.97204,0.96199,0.97878,0.72959,1.45232,0.44114,0.8884,8.70577e-05,8.70577e-05,8.70577e-05
125,1458.29,1.14847,0.35444,0.87257,0.97,0.96334,0.97844,0.73784,1.39443,0.43294,0.88881,8.15947e-05,8.15947e-05,8.15947e-05
126,1470.19,1.15949,0.35298,0.87912,0.9725,0.96214,0.97723,0.71377,1.55721,0.45732,0.89114,7.63174e-05,7.63174e-05,7.63174e-05
127,1480.76,1.14556,0.34793,0.87006,0.97101,0.96505,0.97753,0.73006,1.43101,0.44879,0.88633,7.12282e-05,7.12282e-05,7.12282e-05
128,1491.82,1.13644,0.34913,0.87142,0.97001,0.9647,0.97655,0.72282,1.4899,0.4502,0.88995,6.63292e-05,6.63292e-05,6.63292e-05
129,1502.64,1.1331,0.34536,0.8727,0.96702,0.96561,0.97613,0.72997,1.44873,0.44176,0.88796,6.16227e-05,6.16227e-05,6.16227e-05
130,1513.46,1.13409,0.3454,0.87487,0.96934,0.96325,0.97538,0.72468,1.48086,0.44197,0.89091,5.71106e-05,5.71106e-05,5.71106e-05
131,1524.18,1.14177,0.3498,0.86955,0.97164,0.96119,0.97687,0.726,1.46357,0.44,0.89297,5.2795e-05,5.2795e-05,5.2795e-05
132,1535.04,1.13615,0.34842,0.87358,0.97345,0.96289,0.97666,0.72925,1.459,0.43685,0.89148,4.86777e-05,4.86777e-05,4.86777e-05
